カテゴリ,授業名,授業内容,開講日時,担当教員,評価基準,難易度_単位,難易度_成績,A+,A,B,C,F
ソーシャル・データサイエンス科目,ソーシャル・データサイエンス入門Ⅰ,１年生必修。自動登録。月１で大変だが、出席を取るので注意。講義前半では様々な分野とデータサイエンスの関係を学び、後半ではグループでプレゼンを行う。,春夏 月１,七丈直弘,授業参加 プレゼン レポート,2,3,12.3,17.8,56.2,8.2,5.5
ソーシャル・データサイエンス科目,ソーシャル・データサイエンス入門Ⅱ,１年生必修。自動登録。グループで国立市の団体と協力して調査や分析を実際に行う課外学習が主となる。2年生(TA)による出欠チェックあり。十分な授業外活動が必要。,秋冬 火３,檜山敦,授業参加 プレゼン レポート,3,4,9.2,21.5,55.4,7.7,6.2
ソーシャル・データサイエンス科目,ソーシャル・データサイエンスの法と倫理,２年生必修。自動登録。出席すると試験の点に加点される回が２，３回ある。データサイエンスとあまり関係のない法律も扱われる。期末試験では六法持ち込みを推奨。ポケット六法がおすすめ。,冬 火１金１,寺田麻佑,レポート 期末試験,2,4,12.5,18.8,25,40.6,3.1
ソーシャル・データサイエンス科目,PBL演習,３年生必修。春夏・秋冬の各学期でそれぞれ１つ履修。担当教員やテーマにより複数クラスあり。,春夏 木４木５金４ / 秋冬 木４木５金４,複数,―,―,―,,,,,
ソーシャル・データサイエンス科目,ゼミナール,３年生・４年生必修。主ゼミナール（通年）を履修。副ゼミナールも選択可。,通年 月４月５火４火５,各教員,―,―,―,,,,,
社会科学科目,社会科学入門(経営学),【本年度開講無し】抽選対象。奇数年開講科目。「経営戦略論とDS」の前提授業。春夏金２は「経営学(他学部)」のSDS専用枠、秋冬水２はSDS専用授業。,―,未定 / 未定,―,3,3,5,18.3,30,26.7,20
社会科学科目,社会科学入門(マーケティング),【教員変更あり】抽選対象。偶数年開講科目。「マーケティング(他学部)」のSDS専用枠。「マーケティングとDS」の前提授業。24年度はライブ配信形式だった。成績がほしいなら授業内でプレゼンをすると加点要素となる。,秋冬 月２,青木哲也,小テスト 中間試験 レポート,3,3,10,25,41.7,13.3,10
社会科学科目,社会科学入門(会計学),抽選対象。偶数年開講科目。「会計学入門(他学部)」のSDS専用枠。,春夏 金３,角ケ谷典幸,中間試験 期末試験,3,3,8.5,22,37.3,23.7,8.5
社会科学科目,社会科学入門(金融),【本年度開講無し】抽選対象。奇数年開講科目。「ファイナンスとDS」の前提授業。,―,小西大,中間試験 期末試験,3,3,8.3,20.8,31.3,31.3,8.3
社会科学科目,社会科学入門(経済学),「経済学入門」のSDS専用枠。「マクロ経済学とDS」「ミクロ経済学とDS」の前提授業。期末試験や小課題のほか書評も課されるのでやや大変。,秋 他,會田剛史,期末試験,3,2,7.7,21.2,32.7,26.9,11.5
社会科学科目,社会科学入門(法学),【教員変更あり】抽選対象。「法学入門(他学部)」のSDS専用枠。「行政法とDS」「国際政治とDS」の前提授業。,春夏 月２,永石尚也,リアペ 期末試験,3,4,6.8,16.9,52.5,13.6,10.2
社会科学科目,社会科学入門(社会学),「社会科学概論Ⅰ」のSDS専用枠。オンデマンドだが、毎回小テストが課せられる。また最終課題では数千字のレポートが課せられる。,春 他,数土直紀,小テスト レポート,2,3,8.1,21,59.7,4.8,6.5
社会科学科目,社会科学入門(歴史学),CAP制限外。抽選対象。教授言語が英語なので注意。,集中 夏1,EHLERS MAREN ANNIKA,授業参加 レポート,3,2,0,23.5,14.7,11.8,50
社会科学科目,経営戦略論とDS,２年生向け。初回授業で2時間の動画視聴及びそのレポートが課せられる。授業内課題も多いので注意。,春 月２木２,永山晋,授業参加 レポート,4,4,6.3,31.3,27.1,27.1,8.3
社会科学科目,マーケティングとDS,２年生向け。マーケティング理論の基礎を扱う。期末試験は語彙選択の穴埋め型。,夏 月３木３,加藤諒,レポート 期末試験,2,1,17.1,37.8,18.3,18.3,8.5
社会科学科目,ファイナンスとDS,２年生向け。「金融市場データ分析」の前提授業。データ分析の内容はなく、３年次科目にて扱われる。授業内容が難しいので注意。,秋 火３金３,渡部敏明,期末試験,4,4,8.5,22,27.1,28.8,13.6
社会科学科目,ミクロ経済学とDS,２年生向け。ミクロ経済学の基礎を学習する。内容は易しめ。,春 月１木１,今井晋,レポート 中間試験 期末試験,1,2,20.5,17.9,38.5,12.8,10.3
社会科学科目,マクロ経済学とDS,２年生向け。動学マクロモデルを中心に扱われる。授業内容は難しいが、期末試験にA4１枚持ち込み可能。,春夏 火１,森田裕史,レポート 期末試験,4,4,38.1,14.3,33.3,4.8,9.5
社会科学科目,行政法とDS,２年生向け。,夏 火４金４,寺田麻佑,レポート 期末試験,3,3,,,,,
