
No,開講所属,開講,曜日・時限,時間割コード,科目,担当,教授言語,抽選対象,科目区分
1,ソーシャル・データサイエンス学部,春夏学期,月1,1DA10101,ソーシャル・データサイエンス入門Ⅰ,七丈　直弘,日,○,学部導入科目
2,ソーシャル・データサイエンス学部,春夏学期,月2,1DB15001,社会科学入門（法学),永石　尚也,日,○,学部導入科目
3,ソーシャル・データサイエンス学部,春夏学期,火1,1DB20501,マクロ経済学とデータサイエンス,森田　裕史,日,-,学部基礎科目
4,ソーシャル・データサイエンス学部,春夏学期,火1,1DD30601,画像処理,谷田川　達也,日,-,学部発展科目
5,ソーシャル・データサイエンス学部,春夏学期,火2,1DD20201,実践的機械学習Ⅱ,鈴木　真介,日,-,学部基礎科目
6,ソーシャル・データサイエンス学部,春夏学期,火3,1DD30101,ベイズ統計学Ⅱ,城田　慎一郎,日,-,学部発展科目
7,ソーシャル・データサイエンス学部,春夏学期,木1,1DC20501,公的統計,原　尚子,日,-,学部基礎科目
8,ソーシャル・データサイエンス学部,春夏学期,木4,1DA30101,ＰＢＬ演習A,谷田川　達也,日,-,学部発展科目
9,ソーシャル・データサイエンス学部,春夏学期,木4,1DA30201,ＰＢＬ演習B,城田　慎一郎,日,-,学部発展科目
10,ソーシャル・データサイエンス学部,春夏学期,木5,1DA30102,ＰＢＬ演習A,福田　玄明,日,-,学部発展科目
11,ソーシャル・データサイエンス学部,春夏学期,木5,1DA30202,ＰＢＬ演習B,鈴木　真介,日,-,学部発展科目
12,ソーシャル・データサイエンス学部,春夏学期,金2,1DB35001,エビデンスに基づく科学技術政策,七丈　直弘,日,-,学部発展科目
13,ソーシャル・データサイエンス学部,春夏学期,金2,1DE20101,プログラミングⅠ,小町　守／欅　惇志,日,-,学部基礎科目
14,ソーシャル・データサイエンス学部,春夏学期,金3,1DB10301,社会科学入門（会計学),角ヶ谷　典幸,日,○,学部導入科目
15,ソーシャル・データサイエンス学部,春夏学期,金3,1DC30101,多変量解析,高野　佳佑,日,-,学部発展科目
16,ソーシャル・データサイエンス学部,春夏学期,金4,1DA30301,ＰＢＬ演習C,渡部　敏明,日,-,学部発展科目
17,ソーシャル・データサイエンス学部,春夏学期,金5,1DD30501,情報・サイバーセキュリティ,宇根　正志,日,-,学部発展科目
18,ソーシャル・データサイエンス学部,秋冬学期,月2,1DB10201,社会科学入門（マーケティング）,青木　哲也,日,○,学部導入科目
19,ソーシャル・データサイエンス学部,秋冬学期,月4,1DD20301,ＡＩ（人工知能）,欅　惇志,日,-,学部基礎科目
20,ソーシャル・データサイエンス学部,秋冬学期,火3,1DA10201,ソーシャル・データサイエンス入門Ⅱ,檜山　敦,日,○,学部導入科目
21,ソーシャル・データサイエンス学部,秋冬学期,水3,1DB30501,空間・不動産データ分析,高野　佳佑,日,-,学部発展科目
22,ソーシャル・データサイエンス学部,秋冬学期,木3,1DB35301,医療データ分析,松井　茂之,日,-,学部発展科目
23,ソーシャル・データサイエンス学部,秋冬学期,木4,1DA30401,ＰＢＬ演習D,加藤　諒,日,-,学部発展科目
24,ソーシャル・データサイエンス学部,秋冬学期,木4,1DA30502,ＰＢＬ演習E,永山　晋,日,-,学部発展科目
25,ソーシャル・データサイエンス学部,秋冬学期,木4,1DE20201,プログラミングⅡ,谷田川　達也／欅　惇志,日,○,学部基礎科目
26,ソーシャル・データサイエンス学部,秋冬学期,木5,1DA30601,ＰＢＬ演習F,七丈　直弘,日,-,学部発展科目
