教員名,分野,研究テーマ,受入予定人数,選考基準,推奨科目（公式）,副ゼミ情報,備考（公式）,"""研究室""or""ゼミ""",活動時間_週,院進検討率,新B4の人数,3年次の内容,取っておいた方がいい授業,やったイベント,来年のゼミの構成（学部生除く）（判明分）,使えるリソース,外部との連携,進路(就職),進路(院進)
七丈直弘,社会科学,科学と社会の未来を定量・定性手法で洞察（LLM・GNN活用、論文・特許バルクデータ分析）,8名まで,参加目的が明確であること,特に指定なし,主ゼミ定員に空きがある場合に受入。内容は主ゼミと同じ,起業志望者の参加を歓迎,ゼミ,〜2時間,60%,5,社会科見学,特になし,懇親会、合宿,,,いっぱい,,内部・外部
寺田麻佑,社会科学,ドイツ憲法裁判所判決の再検討、データ駆動型社会と法の関係分析（著書・判例集の輪読）,8名まで,興味関心のマッチング、フィールド活動への意欲と体力、学術的貢献意欲,特に指定なし,カッセル大学（ドイツ）法学教授・九州大学情報法ゼミとの共同ゼミの可能性あり,,,,,0,,,,,,,,
永山晋,社会科学,経営における創造性、イノベーション、ウェルビーイング、認知・行動変容,8名まで,GPAも参照するが、研究テーマの興味関心のマッチング・モチベーションを重視,R/Pythonプログラミング、回帰分析、機械学習、統計学、経営学、経済学、心理学,受入人数に応じて受入不可の場合あり。単位不要でゼミ参加希望は個別相談可,,研究室,8〜13時間,,2,論文輪読、研究,SDSの授業全般,食事会、外部講師招待、他大学での研究発表,,いろんな分野の本、ローカルで動くLLM,,,
坂野遼平,社会科学,分散システム（IoT、ブロックチェーン、防災システム、分散型SNS）,約4名,関連科目の成績も参考にしつつ、技術的関心を重視,アルゴリズム、データベース,主ゼミ人数次第で受入不可の場合あり。単位不要でも興味あれば個別相談可,参考: https://www.banno-lab.net/guide/,研究室,,100%,1,,,,,,,,
檜山敦,社会科学,社会課題解決に向けたシステム構築と評価（VR、ロボティクス、電子工作、ハードウェア）,約4名,興味関心のマッチング、フィールドに出て活動できる意欲と体力,特に指定なし,個別に問い合わせ,,ゼミ,～2時間,50%,4,VR,データ可視化,合宿,,VR,,コンサル,
WOO YU JIN,社会科学,国内・国際政治イベントの原因と影響（定量的方法論）,8名まで（主＋副合計8名）,テーマへの関心、適切なデータ・分析モデルを追求する姿勢、社会的・学術的貢献意欲,回帰分析I・II、国際政治とDS、政治学とDS,主ゼミと同内容。主ゼミが8名に達した場合は受入なし,,,,,0,,,,,,,,
今井晋,統計学,政策評価（具体的テーマは学生の意見を重視して決定）,約4名,興味関心等を考慮,ミクロ経済学、統計学基礎の関連科目,主ゼミとほぼ同内容予定。学生の意見を重視,,ゼミ,〜2時間,0%,3,,ミクロ経済学とDS、因果推論,,,,,,
植松良公,統計学,統計学に基づくデータ分析の方法論と理論（探索的・検証的データ分析）,8名まで（副ゼミ含む合計8名）,興味関心と学習意欲,線形代数I・II、微分積分I・II、数理統計学、回帰分析、機械学習関連科目,主ゼミ含め合計8名まで。様々なバックグラウンドの方を歓迎,数学好き・大学院進学希望者・統計学を学び直したい方も歓迎,ゼミ,,50%,4,,数理統計学,飲み会,,,,,内部
加藤諒,統計学,ベイズ統計学、マーケティングサイエンス、実証会計学,8名まで,GPAも参照するが、マーケティングデータ分析へのモチベーションを重視,線形代数I・II、微分積分I・II、統計、プログラミング基礎、回帰分析I・II、数理統計学、ベイズ統計学I、プログラミングI・II、マーケティングとDS,主ゼミと同内容。主ゼミ合格者数次第で受入なしの可能性あり,,ゼミ,〜2時間,63%,8,輪読・データ分析コンペ,統計関連・マーケとDS,,M2×2　D1×1,,共同研究先(マーケ系・会計系とか),コンサル多そう,内部・外部・海外
清水千弘,統計学,①官民ビッグデータを用いた予測・政策提案、②スポーツデータを用いた競技力強化・チーム戦略,8名まで,成長意欲と社会課題・研究課題への関心の強さを重視,統計、回帰分析I・II、数理統計学、プログラミング基礎、プログラミングI・II,主ゼミと同内容。①②の課題から大きく離れることは不可。主ゼミ合格者数次第で受入なしの可能性あり,,中間,5～10時間,50%,8,GIS、実データ分析、プロジェクト,特になし,懇親会、忘年会、合宿、WS,M1×3　M2×1　PD×3,Kindle,いっぱい,コンサル、金融、デべ,内部・外部
